time: 0	 sensorID: 1	 sendTo: 51
time: 0	 sensorID: 1	 sendTo: 51
time: 0	 sensorID: 1	 sendTo: 51
time: 0	 sensorID: 1	 sendTo: 51
time: 0	 sensorID: 1	 sendTo: 51
time: 0	 sensorID: 1	 sendTo: 51
time: 0	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 1	 sendTo: 51
time: 1	 sensorID: 49	 sendTo: 24
time: 1	 sensorID: 50	 sendTo: 25
time: 1	 sensorID: 46	 sendTo: 21
time: 1	 sensorID: 45	 sendTo: 20
time: 1	 sensorID: 51	 sendTo: 26
time: 1	 sensorID: 42	 sendTo: 17
time: 1	 sensorID: 47	 sendTo: 22
time: 1	 sensorID: 43	 sendTo: 18
time: 1	 sensorID: 38	 sendTo: 13
time: 1	 sensorID: 39	 sendTo: 14
time: 1	 sensorID: 34	 sendTo: 9
time: 1	 sensorID: 35	 sendTo: 10
time: 1	 sensorID: 30	 sendTo: 5
time: 1	 sensorID: 31	 sendTo: 6
time: 1	 sensorID: 26	 sendTo: 1
time: 1	 sensorID: 27	 sendTo: 2
time: 1	 sensorID: 23	 sendTo: 49
time: 1	 sensorID: 22	 sendTo: 48
time: 1	 sensorID: 19	 sendTo: 45
time: 1	 sensorID: 18	 sendTo: 44
time: 1	 sensorID: 14	 sendTo: 40
time: 1	 sensorID: 15	 sendTo: 41
time: 1	 sensorID: 11	 sendTo: 37
time: 1	 sensorID: 10	 sendTo: 36
time: 1	 sensorID: 7	 sendTo: 33
time: 1	 sensorID: 6	 sendTo: 32
time: 1	 sensorID: 2	 sendTo: 28
time: 1	 sensorID: 3	 sendTo: 29
time: 1	 sensorID: 48	 sendTo: 23
time: 1	 sensorID: 44	 sendTo: 19
time: 1	 sensorID: 40	 sendTo: 15
time: 1	 sensorID: 36	 sendTo: 11
time: 1	 sensorID: 32	 sendTo: 7
time: 1	 sensorID: 28	 sendTo: 3
time: 1	 sensorID: 24	 sendTo: 50
time: 1	 sensorID: 20	 sendTo: 46
time: 1	 sensorID: 16	 sendTo: 42
time: 1	 sensorID: 12	 sendTo: 38
time: 1	 sensorID: 8	 sendTo: 34
time: 1	 sensorID: 4	 sendTo: 30
time: 1	 sensorID: 41	 sendTo: 16
time: 1	 sensorID: 37	 sendTo: 12
time: 1	 sensorID: 33	 sendTo: 8
time: 1	 sensorID: 29	 sendTo: 4
time: 1	 sensorID: 25	 sendTo: 51
time: 1	 sensorID: 21	 sendTo: 47
time: 1	 sensorID: 17	 sendTo: 43
time: 1	 sensorID: 13	 sendTo: 39
time: 1	 sensorID: 9	 sendTo: 35
time: 1	 sensorID: 5	 sendTo: 31
time: 1	 sensorID: 1	 sendTo: 27
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 5	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 6	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 7	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 8	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 9	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 10	 sensorID: 1	 sendTo: 51
time: 11	 sensorID: 1	 sendTo: 51
time: 11	 sensorID: 1	 sendTo: 51
time: 11	 sensorID: 1	 sendTo: 51
time: 11	 sensorID: 1	 sendTo: 51
time: 11	 sensorID: 1	 sendTo: 51
time: 11	 sensorID: 1	 sendTo: 51
